bus,0.8922,1419.50,544.25,1918.86,835.18
car,0.7799,1793.81,776.22,1919.16,972.31
person,0.7713,703.66,759.76,890.58,1080.00
car,0.7542,1333.55,743.58,1484.77,828.79
person,0.6993,1116.55,739.24,1215.80,997.34
person,0.6715,228.45,884.16,490.81,1080.00
person,0.6555,524.03,794.63,647.87,1073.54
person,0.6357,1029.54,738.68,1100.40,1001.98
person,0.6047,820.18,848.10,1065.78,1078.43
person,0.5737,122.13,813.05,335.51,1077.94
person,0.4697,0.24,778.55,123.78,1079.71
handbag,0.4570,1154.89,807.10,1218.02,891.22
car,0.4341,1079.26,733.54,1157.28,837.01
person,0.3501,408.68,816.38,579.29,1076.46
person,0.3152,662.45,738.06,776.82,1051.82
person,0.3125,373.00,713.70,466.27,874.96
car,0.2826,1196.51,740.17,1265.79,786.76
