car,0.8977,1596.65,762.07,1920.00,922.17
car,0.7455,1325.99,750.98,1485.09,841.56
person,0.6447,197.39,786.23,307.90,1080.00
person,0.6261,124.64,751.33,226.31,1066.49
person,0.6124,589.76,790.71,732.79,1080.00
person,0.5928,954.29,818.18,1160.98,1080.00
person,0.5712,847.77,770.13,948.12,1064.32
person,0.5677,343.57,774.00,425.40,1041.93
person,0.5638,705.99,818.63,875.60,1077.53
person,0.5245,15.03,730.16,117.46,1042.20
person,0.4646,1132.61,743.71,1185.27,910.77
person,0.3674,1191.42,749.12,1281.73,964.40
person,0.3296,475.34,733.84,549.91,996.56
car,0.3032,1538.15,752.88,1712.76,845.10
person,0.3013,414.41,754.65,484.15,1000.31
person,0.2940,1044.72,755.81,1127.68,912.29
