person,0.8333,576.33,785.09,901.52,1080.00
person,0.6808,460.14,750.85,560.89,1009.88
car,0.6780,1159.97,741.27,1400.60,870.02
person,0.6404,961.00,721.13,1072.02,1036.04
person,0.6375,570.28,753.62,646.03,997.96
car,0.6289,1099.32,760.96,1304.44,916.51
car,0.5942,1353.03,750.39,1523.32,817.77
bus,0.4709,1725.38,509.26,1919.09,878.89
person,0.4568,313.92,782.02,445.85,1019.98
person,0.4345,844.76,740.24,932.71,1027.03
person,0.4089,107.48,730.75,242.34,1075.51
person,0.3309,920.36,738.59,983.22,1025.65
truck,0.2816,1723.81,507.91,1919.31,877.16
person,0.2776,224.13,776.85,308.88,1044.35
person,0.2513,1057.50,734.18,1128.46,1002.38
