car,0.8848,1550.56,755.21,1918.96,898.83
person,0.7555,563.25,941.62,804.99,1076.09
person,0.7462,86.86,865.46,338.38,1078.41
person,0.7125,0.16,756.80,105.49,1075.09
person,0.6903,1030.30,735.14,1120.05,1017.44
car,0.6784,1382.67,751.91,1543.26,817.10
person,0.6681,640.55,779.91,847.47,1075.85
person,0.6354,416.83,764.27,535.58,1079.34
person,0.6245,532.89,749.44,616.80,993.25
car,0.6158,1129.67,745.46,1268.16,841.86
car,0.5637,1290.55,744.74,1381.89,801.17
person,0.5486,842.02,737.08,928.43,1021.98
car,0.4086,1101.20,763.36,1220.78,877.60
person,0.4046,211.98,727.32,322.92,926.80
person,0.4012,304.15,770.23,413.78,1059.99
person,0.3835,916.52,744.57,981.78,1027.60
person,0.3573,987.51,742.76,1046.46,966.00
car,0.3210,1264.61,740.79,1386.17,802.32
person,0.3005,958.41,741.29,1036.90,969.42
car,0.2736,1114.92,758.74,1223.84,853.05
