car,0.8020,1471.17,769.52,1687.56,875.44
person,0.7760,28.08,776.54,188.56,1080.00
person,0.6274,365.05,774.18,469.16,1071.17
car,0.6142,1340.90,759.89,1432.22,833.07
handbag,0.5875,1063.91,902.07,1140.26,1018.96
person,0.5781,139.13,764.34,251.18,1078.22
person,0.5484,751.36,945.52,918.49,1080.00
person,0.5256,698.64,795.90,823.80,1074.95
person,0.5127,1008.00,796.14,1160.69,1079.60
person,0.4993,1155.47,765.45,1225.15,986.72
person,0.4802,820.88,812.19,951.73,1064.22
handbag,0.4769,1066.49,935.73,1140.29,1020.47
person,0.4433,542.01,732.93,657.28,1080.00
person,0.3980,1249.39,739.07,1307.18,932.13
person,0.3844,470.66,758.27,547.27,1006.52
person,0.3525,655.62,743.71,753.26,1066.68
person,0.3111,243.82,764.68,327.16,1036.56
car,0.3100,1853.05,767.36,1919.21,841.63
person,0.2969,0.02,760.75,38.56,1043.16
person,0.2522,306.13,743.83,378.54,1009.05
