car,0.8629,1457.74,750.92,1778.21,875.51
person,0.7715,185.22,842.00,438.84,1077.79
car,0.7000,1116.44,738.60,1231.12,825.99
car,0.6658,1291.32,741.81,1408.11,801.47
person,0.6628,446.49,756.53,565.59,1057.92
person,0.6065,0.33,916.55,132.69,1078.98
car,0.5241,1403.26,744.94,1507.56,811.40
person,0.5218,846.37,730.71,927.70,1021.30
person,0.4949,617.45,902.46,840.52,1079.73
person,0.4866,607.11,821.13,841.86,1077.34
car,0.4738,1225.51,745.88,1302.73,793.89
person,0.4466,905.92,748.97,982.28,1025.73
person,0.4444,992.74,741.54,1089.71,994.36
person,0.4392,557.54,746.78,643.43,982.29
person,0.3049,261.66,724.09,368.93,854.33
person,0.2786,976.40,744.99,1032.41,989.92
person,0.2738,1053.69,732.94,1184.11,1012.17
person,0.2691,1071.55,802.05,1142.60,1016.22
