person,0.8422,1157.86,784.80,1417.27,1077.59
person,0.8266,389.02,803.17,651.86,1080.00
person,0.8143,853.73,770.12,1121.32,1080.00
person,0.7750,1398.71,796.49,1546.54,1078.07
person,0.7346,1584.03,800.84,1728.04,1077.89
person,0.6979,148.75,782.69,337.56,1077.03
person,0.6595,0.29,751.87,98.18,1069.65
person,0.6504,571.61,746.01,694.90,1067.44
person,0.6180,782.36,748.97,945.76,1077.68
person,0.5877,678.96,730.95,785.52,1076.72
car,0.5491,1825.50,767.99,1919.38,816.77
car,0.4382,1622.73,762.40,1764.27,862.90
person,0.3782,142.11,748.52,253.76,1074.72
person,0.3494,307.76,797.10,392.87,1078.46
car,0.3214,1613.29,765.67,1771.85,896.77
