person,0.8260,1144.68,784.58,1405.94,1078.10
person,0.8112,848.11,780.12,1112.49,1079.13
person,0.7914,374.83,809.08,630.97,1079.95
person,0.7872,1581.02,798.11,1722.93,1075.04
person,0.7334,148.98,782.88,340.89,1077.97
person,0.7214,566.25,743.10,690.48,1074.23
person,0.6889,0.22,759.42,96.03,1064.64
person,0.6821,779.16,749.91,940.66,1076.68
person,0.6580,678.97,729.17,785.78,1076.04
person,0.6099,1395.63,784.24,1547.61,1078.24
car,0.5151,1602.26,765.00,1776.98,885.96
car,0.3685,1825.57,774.28,1919.94,816.00
person,0.3402,140.68,749.20,251.96,1075.63
person,0.3348,1103.10,781.10,1223.14,1075.95
person,0.3282,302.75,795.92,398.66,1074.96
car,0.3076,1613.41,762.56,1764.23,860.15
person,0.2859,1570.54,756.87,1631.64,888.50
person,0.2707,1575.64,774.38,1688.77,1073.18
person,0.2659,509.14,734.77,586.51,920.37
