car,0.8753,1455.38,768.95,1647.09,867.83
person,0.7983,80.70,770.94,244.65,1079.23
person,0.6915,407.58,766.70,506.27,1053.47
person,0.6708,661.82,739.53,773.79,1080.00
person,0.6372,1183.37,770.92,1248.53,965.27
person,0.6331,1057.90,819.02,1205.66,1078.38
person,0.6293,557.34,748.62,658.15,1080.00
car,0.6083,1336.57,761.88,1425.83,831.86
car,0.5985,1813.49,766.34,1919.31,840.91
person,0.5732,0.16,772.22,82.15,1079.55
person,0.5648,245.63,771.69,339.65,1053.63
person,0.5348,834.80,814.29,987.34,1076.40
person,0.5090,741.26,793.32,860.91,1074.47
person,0.4322,787.43,945.96,940.90,1080.00
handbag,0.4120,1101.68,897.70,1174.13,1014.71
person,0.4080,505.49,769.82,581.89,1011.01
person,0.3379,332.40,754.72,408.04,1001.61
person,0.2597,1148.22,763.42,1200.64,905.00
