person,0.7915,1.12,743.80,229.42,1075.67
person,0.7895,1138.33,803.29,1291.35,1075.85
car,0.7643,1437.73,757.34,1572.49,840.70
person,0.6886,133.82,744.45,297.89,1072.19
person,0.6187,699.38,752.34,813.19,1080.00
person,0.5642,316.93,811.18,697.39,1080.00
person,0.5636,1289.87,764.15,1387.00,1029.17
person,0.5301,880.63,920.25,1036.71,1080.00
car,0.5299,1778.77,764.32,1867.96,818.35
car,0.4923,1355.96,755.35,1436.16,815.69
person,0.4900,952.31,807.38,1090.58,1079.59
person,0.4494,255.04,778.40,375.23,1079.45
person,0.4446,565.26,740.60,668.43,1033.82
person,0.3976,71.89,774.98,170.40,967.25
person,0.3785,852.49,783.02,954.96,1061.31
person,0.3474,788.31,752.82,865.49,1070.26
person,0.3010,471.74,725.46,553.78,819.20
person,0.2950,124.83,735.19,184.45,848.26
car,0.2933,1871.87,770.39,1919.40,831.95
person,0.2875,675.12,744.60,753.52,1060.09
person,0.2645,868.50,781.33,950.40,1000.32
