car,0.8992,1459.04,754.82,1774.25,895.87
person,0.8505,929.43,847.43,1176.67,1080.00
person,0.7794,833.74,750.50,992.52,1080.00
car,0.7514,1296.73,746.72,1436.72,819.03
person,0.7065,10.93,781.91,127.83,1080.00
person,0.6571,433.95,857.34,676.82,1080.00
person,0.6292,333.39,812.17,544.67,1077.41
person,0.6116,1129.19,752.35,1204.84,986.66
person,0.5633,1083.24,745.45,1142.17,955.44
car,0.5584,1767.86,753.63,1919.15,888.22
person,0.4821,182.77,771.61,296.21,1070.57
person,0.4272,701.34,786.99,805.07,1080.00
person,0.4167,96.98,734.12,181.89,1052.30
person,0.3546,289.57,736.22,405.08,1054.86
car,0.3330,1209.74,739.11,1300.29,793.14
bus,0.2893,1633.46,578.06,1918.84,876.99
person,0.2755,1084.12,747.22,1140.20,897.08
