car,0.8765,1472.37,751.44,1796.82,877.74
person,0.7785,178.14,843.19,431.99,1078.71
car,0.7263,1117.61,739.75,1234.05,832.89
car,0.6565,1288.20,742.84,1403.93,801.11
person,0.6355,620.08,906.78,836.37,1078.33
person,0.6070,442.18,754.97,558.54,1069.87
person,0.5845,846.37,737.42,928.27,1026.03
person,0.5646,1051.83,731.70,1178.26,1015.32
car,0.4999,1405.28,745.46,1515.60,810.35
person,0.4390,908.72,747.72,978.87,1026.97
person,0.4094,546.65,754.63,640.79,979.71
person,0.3728,986.66,736.49,1090.35,999.79
person,0.3369,598.69,785.05,837.49,1071.13
car,0.3133,1221.69,748.22,1298.17,794.10
person,0.3099,1.46,741.23,154.18,1070.18
person,0.3023,968.58,753.09,1025.49,958.01
person,0.2566,257.67,721.87,357.05,848.78
