car,0.8541,1363.22,751.79,1567.79,858.93
person,0.7797,917.09,822.27,1122.31,1080.00
person,0.7599,0.29,783.24,134.09,1077.67
person,0.6745,782.53,766.98,889.45,1077.29
person,0.6711,442.33,794.91,621.98,1072.25
person,0.6376,206.29,774.36,304.36,1076.34
bus,0.6253,1532.04,548.11,1919.33,863.58
person,0.5611,307.19,765.01,403.53,1012.69
car,0.5511,1860.64,812.75,1919.30,940.54
person,0.5405,114.59,734.59,221.58,1042.26
bus,0.5320,1373.73,628.20,1540.08,767.78
person,0.5208,576.15,831.12,786.26,1079.55
person,0.4794,1136.33,741.28,1239.24,976.43
person,0.4754,1072.94,742.52,1130.50,920.99
car,0.2974,1301.63,745.65,1373.16,808.82
person,0.2572,384.62,735.81,480.30,1049.14
