person,0.8496,1.18,744.18,259.32,1075.28
person,0.7906,1141.70,802.18,1298.08,1076.41
car,0.7875,1437.79,756.56,1568.94,838.32
person,0.6798,143.05,749.69,326.71,1048.91
person,0.6172,1293.88,762.11,1394.92,1023.63
person,0.6135,370.02,805.19,740.30,1080.00
car,0.5201,1784.39,764.95,1875.80,819.53
person,0.4992,703.17,748.10,815.01,1078.34
car,0.4399,1357.55,755.34,1433.93,821.73
person,0.4180,255.89,762.99,427.81,1080.00
person,0.4107,881.39,918.03,1044.26,1080.00
person,0.3224,788.42,748.07,871.11,1072.66
person,0.2816,870.24,773.14,954.54,1004.29
car,0.2628,1875.96,764.81,1919.34,831.45
person,0.2534,566.39,737.71,669.11,1027.17
