person,0.8496,552.14,788.85,807.42,1080.00
person,0.8185,972.77,765.86,1209.81,1079.51
person,0.8005,1630.60,791.52,1776.96,1078.14
person,0.7849,1241.47,774.36,1524.13,1077.08
person,0.7597,166.42,778.27,338.98,1076.93
person,0.7577,839.14,752.96,972.85,1080.00
person,0.7239,793.84,749.77,890.98,1077.12
person,0.7064,0.23,764.24,91.53,1071.75
person,0.6663,461.99,751.32,555.00,1076.74
backpack,0.4448,81.93,794.70,153.71,916.14
person,0.3914,70.20,738.22,175.41,1077.71
person,0.3892,291.71,789.00,407.33,1040.77
person,0.3741,1548.87,780.76,1589.27,922.02
person,0.3593,693.21,737.70,776.76,902.42
person,0.3339,941.97,758.77,1024.40,1008.16
person,0.3167,1478.88,781.78,1537.08,905.49
